month,outlet_name,conflict_name,death_reporting_count,human_rights_violations_count,id,death_report_percentage,hr_violation_percentage
2020-01,The Economist,Israel-Palestine Conflict,2.0,0.0,1,200.0,0.0
2020-01,The Globe and Mail,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-01,The Guardian,Israel-Palestine Conflict,56.0,8.0,1,5600.0,800.0
2020-01,The Hill,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-01,The Independent,Israel-Palestine Conflict,12.0,2.0,3,400.0,66.66666666666666
2020-01,The Intercept,Israel-Palestine Conflict,1.0,0.0,2,50.0,0.0
2020-01,The Japan Times,Israel-Palestine Conflict,2.0,8.0,1,200.0,800.0
2020-01,The New York Times,Israel-Palestine Conflict,8.0,1.0,2,400.0,50.0
2020-01,The New York Times,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-01,The South China Morning Post,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-01,The Sun,Israel-Palestine Conflict,2.0,1.0,1,200.0,100.0
2020-01,The Washington Post,Israel-Palestine Conflict,0.0,1.0,2,0.0,50.0
2020-01,Vox,Israel-Palestine Conflict,0.0,0.0,4,0.0,0.0
2020-02,Arab News,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-02,BuzzFeed News,Israel-Palestine Conflict,14.0,2.0,1,1400.0,200.0
2020-02,BuzzFeed News,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-02,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,8.0,0.0,3,266.66666666666663,0.0
2020-02,China Daily,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-02,Council on Foreign Relations,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-02,Council on Foreign Relations,Russian Invasion of Ukraine,6.0,1.0,1,600.0,100.0
2020-02,Deutsche Welle,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-02,Financial Times,Israel-Palestine Conflict,4.0,2.0,2,200.0,100.0
2020-02,Foreign Affairs,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-02,Foreign Policy,Israel-Palestine Conflict,9.0,17.0,5,180.0,340.0
2020-02,Fox News,Israel-Palestine Conflict,1.0,0.0,2,50.0,0.0
2020-02,France 24,Israel-Palestine Conflict,0.0,1.0,2,0.0,50.0
2020-02,International Crisis Group reports,Israel-Palestine Conflict,2.0,5.0,1,200.0,500.0
2020-02,International Crisis Group reports,Russian Invasion of Ukraine,0.0,0.0,2,0.0,0.0
2020-02,Just Security,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-02,La Razón,Russian Invasion of Ukraine,0.0,1.0,1,0.0,100.0
2020-02,La Vanguardia,Israel-Palestine Conflict,2.0,0.0,1,200.0,0.0
2020-02,Le Parisien,Israel-Palestine Conflict,2.0,2.0,1,200.0,200.0
2020-02,Los Angeles Times,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-02,RIA Novosti,Israel-Palestine Conflict,10.0,2.0,2,500.0,100.0
2020-02,RT (Russia Today),Israel-Palestine Conflict,5.0,1.0,4,125.0,25.0
2020-02,RTVE,Israel-Palestine Conflict,2.0,28.0,2,100.0,1400.0
2020-02,RTVE,Russian Invasion of Ukraine,0.0,0.0,3,0.0,0.0
2020-02,Tasnim News Agency,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-02,The Conversation UK,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-02,The Daily Telegraph,Israel-Palestine Conflict,2.0,0.0,1,200.0,0.0
2020-02,The Diplomat,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-02,The Globe and Mail,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-02,The Hindu,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-02,The Intercept,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-02,The Japan Times,Israel-Palestine Conflict,0.0,1.0,1,0.0,100.0
2020-02,The New Statesman,Israel-Palestine Conflict,4.0,9.0,1,400.0,900.0
2020-02,The Times,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-02,The Times of India,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-02,The Washington Post,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-02,Vox,Israel-Palestine Conflict,4.0,1.0,1,400.0,100.0
2020-03,BuzzFeed News,Russian Invasion of Ukraine,2.0,0.0,1,200.0,0.0
2020-03,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-03,China Daily,Russian Invasion of Ukraine,1.0,0.0,1,100.0,0.0
2020-03,Council on Foreign Relations,Israel-Palestine Conflict,16.0,0.0,2,800.0,0.0
2020-03,Fox News,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-03,Institute for International Strategic Studies (IISS) publications,Israel-Palestine Conflict,10.0,1.0,1,1000.0,100.0
2020-03,International Crisis Group reports,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-03,International Crisis Group reports,Russian Invasion of Ukraine,1.0,0.0,1,100.0,0.0
2020-03,Kommersant,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-03,NPR,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-03,RT (Russia Today),Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-03,Tasnim News Agency,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-03,The Globe and Mail,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-04,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,0.0,1.0,1,0.0,100.0
2020-04,Council on Foreign Relations,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-04,El País,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-04,Foreign Affairs,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-04,Haaretz ,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-04,International Crisis Group reports,Israel-Palestine Conflict,4.0,0.0,2,200.0,0.0
2020-04,International Crisis Group reports,Russian Invasion of Ukraine,0.0,0.0,2,0.0,0.0
2020-04,Just Security,Israel-Palestine Conflict,1.0,0.0,2,50.0,0.0
2020-04,Kommersant,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-04,RT (Russia Today),Israel-Palestine Conflict,41.0,44.0,19,215.78947368421052,231.57894736842107
2020-04,Radio France Internationale (RFI),Israel-Palestine Conflict,19.0,2.0,8,237.5,25.0
2020-04,Tasnim News Agency,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-04,The Diplomat,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-04,The Intercept,Russian Invasion of Ukraine,0.0,0.0,2,0.0,0.0
2020-04,The Sun,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-05,Amnesty International publications,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-05,Der Spiegel,Israel-Palestine Conflict,0.0,2.0,1,0.0,200.0
2020-05,Foreign Policy,Israel-Palestine Conflict,4.0,0.0,2,200.0,0.0
2020-05,Fox News,Israel-Palestine Conflict,2.0,3.0,1,200.0,300.0
2020-05,Institute for International Strategic Studies (IISS) publications,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-05,International Crisis Group reports,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-05,Just Security,Israel-Palestine Conflict,10.0,2.0,2,500.0,100.0
2020-05,Kommersant,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-05,Mediapart,Russian Invasion of Ukraine,3.0,0.0,1,300.0,0.0
2020-05,RT (Russia Today),Israel-Palestine Conflict,13.0,4.0,6,216.66666666666666,66.66666666666666
2020-05,Radio France Internationale (RFI),Israel-Palestine Conflict,0.0,0.0,3,0.0,0.0
2020-05,Tasnim News Agency,Israel-Palestine Conflict,5.0,0.0,2,250.0,0.0
2020-05,The Conversation UK,Russian Invasion of Ukraine,0.0,2.0,1,0.0,200.0
2020-06,Amnesty International publications,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-06,Amnesty International publications,Russian Invasion of Ukraine,2.0,1.0,3,66.66666666666666,33.33333333333333
2020-06,Council on Foreign Relations,Israel-Palestine Conflict,7.0,0.0,3,233.33333333333334,0.0
2020-06,Der Spiegel,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-06,El Confidencial,Russian Invasion of Ukraine,2.0,2.0,1,200.0,200.0
2020-06,France 24,Israel-Palestine Conflict,6.0,0.0,1,600.0,0.0
2020-06,Global Times,Russian Invasion of Ukraine,1.0,0.0,1,100.0,0.0
2020-06,Interfax,Russian Invasion of Ukraine,0.0,2.0,1,0.0,200.0
2020-06,International Crisis Group reports,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-06,Just Security,Israel-Palestine Conflict,1.0,4.0,1,100.0,400.0
2020-06,RT (Russia Today),Israel-Palestine Conflict,0.0,0.0,3,0.0,0.0
2020-06,RT (Russia Today),Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-06,Tasnim News Agency,Israel-Palestine Conflict,2.0,1.0,1,200.0,100.0
2020-06,The Economist,Israel-Palestine Conflict,1.0,2.0,1,100.0,200.0
2020-06,The Intercept,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-06,The Sun,Israel-Palestine Conflict,0.0,9.0,2,0.0,450.0
2020-07,Amnesty International publications,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-07,Amnesty International publications,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-07,Arab News,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-07,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,1.0,1.0,2,50.0,50.0
2020-07,Council on Foreign Relations,Israel-Palestine Conflict,7.0,1.0,1,700.0,100.0
2020-07,Der Spiegel,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-07,El Confidencial,Russian Invasion of Ukraine,3.0,1.0,1,300.0,100.0
2020-07,Institute for International Strategic Studies (IISS) publications,Israel-Palestine Conflict,2.0,0.0,1,200.0,0.0
2020-07,Institute for International Strategic Studies (IISS) publications,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-07,International Crisis Group reports,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-07,International Crisis Group reports,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-07,Just Security,Israel-Palestine Conflict,7.0,0.0,2,350.0,0.0
2020-07,Kommersant,Russian Invasion of Ukraine,3.0,0.0,1,300.0,0.0
2020-07,La Croix,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-07,La Razón,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-07,Los Angeles Times,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-07,RT (Russia Today),Israel-Palestine Conflict,0.0,0.0,3,0.0,0.0
2020-07,Radio France Internationale (RFI),Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-07,Tasnim News Agency,Israel-Palestine Conflict,15.0,1.0,2,750.0,50.0
2020-07,The Diplomat,Israel-Palestine Conflict,0.0,1.0,1,0.0,100.0
2020-07,Vox,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-07,Vox,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-08,Amnesty International publications,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-08,Amnesty International publications,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-08,BuzzFeed News,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-08,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,1.0,1.0,2,50.0,50.0
2020-08,Dawn,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-08,Financial Times,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-08,Foreign Affairs,Israel-Palestine Conflict,3.0,2.0,1,300.0,200.0
2020-08,Foreign Policy,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-08,Institute for International Strategic Studies (IISS) publications,Israel-Palestine Conflict,3.0,1.0,1,300.0,100.0
2020-08,International Crisis Group reports,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-08,Just Security,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-08,La Razón,Israel-Palestine Conflict,0.0,1.0,1,0.0,100.0
2020-08,La Razón,Russian Invasion of Ukraine,2.0,0.0,1,200.0,0.0
2020-08,Mediapart,Russian Invasion of Ukraine,0.0,1.0,1,0.0,100.0
2020-08,RT (Russia Today),Israel-Palestine Conflict,5.0,3.0,4,125.0,75.0
2020-08,RTVE,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-08,Radio France Internationale (RFI),Israel-Palestine Conflict,6.0,0.0,2,300.0,0.0
2020-08,Tasnim News Agency,Israel-Palestine Conflict,2.0,0.0,1,200.0,0.0
2020-08,The Conversation UK,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-08,The Diplomat,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-08,The Economist,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-08,The Independent,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-08,The Jerusalem Post,Israel-Palestine Conflict,7.0,0.0,1,700.0,0.0
2020-08,The Spectator,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-08,The Sun,Israel-Palestine Conflict,2.0,4.0,1,200.0,400.0
2020-08,The Sydney Morning Herald,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-09,Al Jazeera,Israel-Palestine Conflict,2.0,0.0,1,200.0,0.0
2020-09,Amnesty International publications,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-09,Arab News,Israel-Palestine Conflict,12.0,1.0,1,1200.0,100.0
2020-09,BuzzFeed News,Russian Invasion of Ukraine,6.0,9.0,1,600.0,900.0
2020-09,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,7.0,3.0,3,233.33333333333334,100.0
2020-09,Council on Foreign Relations,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-09,Deutsche Welle,Israel-Palestine Conflict,8.0,4.0,1,800.0,400.0
2020-09,El Confidencial,Russian Invasion of Ukraine,5.0,0.0,3,166.66666666666669,0.0
2020-09,Financial Times,Israel-Palestine Conflict,0.0,1.0,2,0.0,50.0
2020-09,Foreign Policy,Israel-Palestine Conflict,4.0,3.0,3,133.33333333333331,100.0
2020-09,France 24,Israel-Palestine Conflict,0.0,1.0,1,0.0,100.0
2020-09,Global Times,Russian Invasion of Ukraine,0.0,1.0,1,0.0,100.0
2020-09,Interfax,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-09,International Crisis Group reports,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-09,Kommersant,Russian Invasion of Ukraine,0.0,3.0,2,0.0,150.0
2020-09,Los Angeles Times,Israel-Palestine Conflict,5.0,19.0,1,500.0,1900.0
2020-09,Mediapart,Russian Invasion of Ukraine,0.0,1.0,2,0.0,50.0
2020-09,RIA Novosti,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-09,Sky News,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-09,Tasnim News Agency,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-09,The Diplomat,Israel-Palestine Conflict,5.0,0.0,1,500.0,0.0
2020-09,The Independent,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-09,The Japan Times,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-09,The Jerusalem Post,Israel-Palestine Conflict,0.0,1.0,1,0.0,100.0
2020-09,The New York Times,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-10,Amnesty International publications,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-10,Arab News,Israel-Palestine Conflict,1.0,0.0,2,50.0,0.0
2020-10,BuzzFeed News,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-10,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-10,Council on Foreign Relations,Israel-Palestine Conflict,1.0,0.0,2,50.0,0.0
2020-10,El Confidencial,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-10,Financial Times,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-10,Foreign Affairs,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-10,International Crisis Group reports,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-10,Just Security,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-10,La Razón,Russian Invasion of Ukraine,0.0,1.0,3,0.0,33.33333333333333
2020-10,MSNBC ,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-10,MSNBC ,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-10,Mediapart,Israel-Palestine Conflict,0.0,2.0,1,0.0,200.0
2020-10,Mediapart,Russian Invasion of Ukraine,0.0,0.0,2,0.0,0.0
2020-10,RT (Russia Today),Israel-Palestine Conflict,1.0,1.0,1,100.0,100.0
2020-10,The Diplomat,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-10,The Intercept,Israel-Palestine Conflict,3.0,0.0,1,300.0,0.0
2020-10,The Intercept,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-10,The Wall Street Journal,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-11,Amnesty International publications,Israel-Palestine Conflict,1.0,0.0,2,50.0,0.0
2020-11,Associated Press (AP),Israel-Palestine Conflict,1.0,1.0,1,100.0,100.0
2020-11,BuzzFeed News,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-11,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-11,Council on Foreign Relations,Israel-Palestine Conflict,0.0,0.0,3,0.0,0.0
2020-11,Council on Foreign Relations,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-11,Foreign Policy,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-11,Fox News,Israel-Palestine Conflict,2.0,0.0,1,200.0,0.0
2020-11,Institute for International Strategic Studies (IISS) publications,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-11,International Crisis Group reports,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-11,Kommersant,Russian Invasion of Ukraine,1.0,0.0,1,100.0,0.0
2020-11,Mediapart,Israel-Palestine Conflict,3.0,0.0,1,300.0,0.0
2020-11,NBC News,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-11,People's Daily,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-11,RT (Russia Today),Israel-Palestine Conflict,15.0,5.0,2,750.0,250.0
2020-11,Tasnim News Agency,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-11,The Intercept,Israel-Palestine Conflict,0.0,7.0,2,0.0,350.0
2020-11,The New York Times,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-11,The Wall Street Journal,Israel-Palestine Conflict,7.0,0.0,1,700.0,0.0
2020-12,Amnesty International publications,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-12,Bloomberg,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-12,CNN ,Russian Invasion of Ukraine,2.0,1.0,1,200.0,100.0
2020-12,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-12,Council on Foreign Relations,Israel-Palestine Conflict,3.0,25.0,4,75.0,625.0
2020-12,Der Spiegel,Israel-Palestine Conflict,1.0,3.0,1,100.0,300.0
2020-12,El Mundo,Russian Invasion of Ukraine,7.0,1.0,1,700.0,100.0
2020-12,Foreign Affairs,Israel-Palestine Conflict,2.0,0.0,1,200.0,0.0
2020-12,Foreign Policy,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-12,International Crisis Group reports,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-12,International Crisis Group reports,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-12,Kommersant,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-12,Les Echos,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-12,MSNBC ,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-12,ProPublica,Russian Invasion of Ukraine,4.0,40.0,1,400.0,4000.0
2020-12,RT (Russia Today),Israel-Palestine Conflict,3.0,1.0,2,150.0,50.0
2020-12,Radio France Internationale (RFI),Israel-Palestine Conflict,0.0,1.0,2,0.0,50.0
2020-12,Tasnim News Agency,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-12,Tasnim News Agency,Russian Invasion of Ukraine,2.0,0.0,1,200.0,0.0
2020-12,The Diplomat,Israel-Palestine Conflict,2.0,4.0,2,100.0,200.0
2020-12,The Guardian International Edition,Israel-Palestine Conflict,7.0,0.0,1,700.0,0.0
2020-12,The Intercept,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-12,The Japan Times,Israel-Palestine Conflict,6.0,1.0,1,600.0,100.0
2020-12,The Jerusalem Post,Israel-Palestine Conflict,0.0,0.0,2,0.0,0.0
2020-12,The New Statesman,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2021-01,Amnesty International publications,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2021-01,Amnesty International publications,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2021-01,BuzzFeed News,Russian Invasion of Ukraine,0.0,1.0,1,0.0,100.0
2021-01,China Daily,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2021-01,Council on Foreign Relations,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2021-01,El Confidencial,Russian Invasion of Ukraine,0.0,0.0,2,0.0,0.0
2021-01,Foreign Policy,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2021-01,Global Times,Russian Invasion of Ukraine,0.0,0.0,2,0.0,0.0
2021-01,International Crisis Group reports,Israel-Palestine Conflict,8.0,1.0,1,800.0,100.0
2021-01,Kommersant,Russian Invasion of Ukraine,1.0,1.0,4,25.0,25.0
2021-01,Los Angeles Times,Israel-Palestine Conflict,0.0,2.0,1,0.0,200.0
2021-01,Mediapart,Russian Invasion of Ukraine,0.0,1.0,1,0.0,100.0
2021-01,NPR,Israel-Palestine Conflict,2.0,1.0,1,200.0,100.0
2021-01,ProPublica,Russian Invasion of Ukraine,4.0,9.0,1,400.0,900.0
2021-01,RT (Russia Today),Israel-Palestine Conflict,12.0,1.0,3,400.0,33.33333333333333
2021-01,The Diplomat,Israel-Palestine Conflict,0.0,2.0,2,0.0,100.0
2021-01,The Guardian,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2021-01,The Intercept,Israel-Palestine Conflict,0.0,1.0,1,0.0,100.0
2021-01,The Jerusalem Post,Israel-Palestine Conflict,11.0,4.0,3,366.66666666666663,133.33333333333331
2021-01,The New Statesman,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2021-01,The Observer,Israel-Palestine Conflict,1.0,17.0,1,100.0,1700.0
2021-01,The Spectator,Israel-Palestine Conflict,0.0,2.0,1,0.0,200.0
2021-01,Vox,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2021-02,Amnesty International publications,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2021-02,Amnesty International publications,Russian Invasion of Ukraine,0.0,0.0,2,0.0,0.0
2021-02,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2021-02,Council on Foreign Relations,Israel-Palestine Conflict,12.0,0.0,4,300.0,0.0
2021-02,El Confidencial,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2021-02,Foreign Affairs,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2021-02,Institute for International Strategic Studies (IISS) publications,Israel-Palestine Conflict,0.0,2.0,1,0.0,200.0
2021-02,Interfax,Russian Invasion of Ukraine,2.0,0.0,1,200.0,0.0
2021-02,International Crisis Group reports,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2021-02,International Crisis Group reports,Russian Invasion of Ukraine,1.0,1.0,1,100.0,100.0
2021-02,Just Security,Israel-Palestine Conflict,6.0,1.0,3,200.0,33.33333333333333
2021-02,Just Security,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2021-02,Kommersant,Russian Invasion of Ukraine,0.0,3.0,2,0.0,150.0
2021-02,La Croix,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2021-02,Libération,Israel-Palestine Conflict,6.0,3.0,4,150.0,75.0
2021-02,Libération,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2021-02,Los Angeles Times,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2021-02,Mediapart,Russian Invasion of Ukraine,0.0,2.0,10,0.0,20.0
